t,r,y,ym,u,t1,t2,t3,ypb
22.252,0.1712298,5.761719,0,3,0,0,0,0
22.352,0.1719675,5.771846,0,3,0,0,0,0
22.452,0.1727048,5.773654,0,3,0,0,0,0
22.552,0.1734416,5.767506,0,3,0,0,0,0
22.652,0.1741781,5.767506,0,3,0,0,0,0
22.752,0.1749141,5.774739,0,3,0,0,0,0
22.852,0.1756496,5.780165,0,3,0,0,0,0
22.952,0.1763847,5.777633,0,3,0,0,0,0
23.052,0.1771194,5.775101,0,3,0,0,0,0
23.152,0.1778537,5.771484,0,3,0,0,0,0
23.252,0.1785875,5.790654,0,3,0,0,0,0
23.352,0.1793209,5.791377,0,3,0,0,0,0
23.452,0.1800538,5.787399,0,3,0,0,0,0
23.552,0.1807863,5.788484,0,3,0,0,0,0
23.652,0.1815183,5.782335,0,3,0,0,0,0
23.752,0.1822499,5.784143,0,3,0,0,0,0
23.852,0.182981,5.780165,0,3,0,0,0,0
23.952,0.1837117,5.786314,0,3,0,0,0,0
24.052,0.184442,5.787399,0,3,0,0,0,0
24.152,0.1851717,5.789207,0,3,0,0,0,0
24.251,0.1858938,5.784505,0,3,0,0,0,0
24.351,0.1866226,5.788122,0,3,0,0,0,0
24.451,0.187351,5.788484,0,3,0,0,0,0
24.552,0.1880863,5.78993,0,3,0,0,0,0
24.652,0.1888138,5.791739,0,3,0,0,0,0
24.752,0.1895408,5.788484,0,3,0,0,0,0
24.852,0.1902673,5.793186,0,3,0,0,0,0
24.952,0.1909934,5.798611,0,3,0,0,0,0
25.052,0.191719,5.799335,0,3,0,0,0,0
25.152,0.1924441,5.793186,0,3,0,0,0,0
25.252,0.1931688,5.804398,0,3,0,0,0,0
25.352,0.193893,5.800781,0,3,0,0,0,0
25.452,0.1946167,5.806207,0,3,0,0,0,0
25.552,0.1953399,5.805483,0,3,0,0,0,0
25.652,0.1960626,5.798611,0,3,0,0,0,0
25.752,0.1967849,5.798973,0,3,0,0,0,0
25.852,0.1975066,5.802951,0,3,0,0,0,0
25.952,0.1982279,5.810908,0,3,0,0,0,0
26.052,0.1989487,5.799696,0,3,0,0,0,0
26.152,0.199669,5.812355,0,3,0,0,0,0
26.252,0.2003888,5.805121,0,3,0,0,0,0
26.351,0.2011009,5.805121,0,3,0,0,0,0
26.451,0.2018198,5.821759,0,3,0,0,0,0
26.551,0.2025381,5.814525,0,3,0,0,0,0
26.652,0.2032631,5.813802,0,3,0,0,0,0
26.752,0.2039804,5.817057,0,3,0,0,0,0
26.852,0.2046972,5.822121,0,3,0,0,0,0
26.952,0.2054136,5.819227,0,3,0,0,0,0
27.052,0.2061294,5.824291,0,3,0,0,0,0
27.152,0.2068446,5.826099,0,3,0,0,0,0
27.252,0.2075594,5.825738,0,3,0,0,0,0
27.352,0.2082737,5.827185,0,3,0,0,0,0
27.452,0.2089875,5.818142,0,3,0,0,0,0
27.551,0.2096936,5.819589,0,3,0,0,0,0
27.652,0.2104134,5.820674,0,3,0,0,0,0
27.752,0.2111256,5.821397,0,3,0,0,0,0
27.852,0.2118373,5.820674,0,3,0,0,0,0
27.952,0.2125485,5.820674,0,3,0,0,0,0
28.052,0.2132591,5.827546,0,3,0,0,0,0
