t,y,ypb,r,u
29.68,7.341941,7.334346,0.35,4
29.78,7.336516,7.341941,0.35,4
29.88,7.323495,7.336516,0.35,4
29.98,7.333984,7.323495,0.35,4
30.079,7.332899,7.333984,0.35,4
30.18,7.339771,7.332899,0.35,4
30.28,7.339771,7.339771,0.35,4
30.38,7.335793,7.339771,0.35,4
30.48,7.336878,7.335793,0.35,4
30.58,7.331814,7.336878,0.35,4
30.68,7.324219,7.331814,0.35,4
30.78,7.331091,7.324219,0.35,4
30.88,7.329282,7.331091,0.35,4
30.981,7.331814,7.329282,0.35,4
31.08,7.337601,7.331814,0.35,4
31.18,7.339048,7.337601,0.35,4
31.28,7.327112,7.339048,0.35,4
31.38,7.326027,7.327112,0.35,4
31.48,7.324219,7.326027,0.35,4
31.58,7.334346,7.324219,0.35,4
31.68,7.344473,7.334346,0.35,4
31.78,7.336878,7.344473,0.35,4
31.88,7.336516,7.336878,0.35,4
31.981,7.337601,7.336516,0.35,4
32.08,7.335793,7.337601,0.35,4
32.18,7.327474,7.335793,0.35,4
32.28,7.333622,7.327474,0.35,4
32.38,7.327474,7.333622,0.35,4
32.481,7.326389,7.327474,0.35,4
32.58,7.328197,7.326389,0.35,4
32.681,7.32675,7.328197,0.35,4
32.78,7.322049,7.32675,0.35,4
32.88,7.326027,7.322049,0.35,4
32.98,7.322772,7.326027,0.35,4
33.081,7.331091,7.322772,0.35,4
33.177,7.337963,7.331091,0.35,4
33.281,7.340495,7.337963,0.35,4
33.38,7.333622,7.340495,0.35,4
33.48,7.334708,7.333622,0.35,4
33.58,7.336154,7.334708,0.35,4
33.68,7.336516,7.336154,0.35,4
33.78,7.330368,7.336516,0.35,4
33.88,7.326027,7.330368,0.35,4
33.98,7.322049,7.326027,0.35,4
34.08,7.326027,7.322049,0.35,4
34.18,7.328197,7.326027,0.35,4
34.28,7.32458,7.328197,0.35,4
34.38,7.318431,7.32458,0.35,4
34.48,7.330368,7.318431,0.35,4
34.58,7.329644,7.330368,0.35,4
34.679,7.327112,7.329644,0.35,4
34.78,7.319517,7.327112,0.35,4
34.88,7.320602,7.319517,0.35,4
34.98,7.323133,7.320602,0.35,4
35.081,7.310836,7.323133,0.35,4
35.18,7.319517,7.310836,0.35,4
35.28,7.318431,7.319517,0.35,4
35.38,7.314091,7.318431,0.35,4
35.48,7.314453,7.314091,0.35,4
35.58,7.322049,7.314453,0.35,4
35.68,7.318431,7.322049,0.35,4
35.78,7.313368,7.318431,0.35,4
35.88,7.310113,7.313368,0.35,4
35.98,7.307219,7.310113,0.35,4
36.079,7.310836,7.307219,0.35,4
36.18,7.306496,7.310836,0.35,4
36.281,7.313006,7.306496,0.35,4
36.38,7.302517,7.313006,0.35,4
36.48,7.309751,7.302517,0.35,4
36.58,7.307942,7.309751,0.35,4
36.679,7.317708,7.307942,0.35,4
36.78,7.304326,7.317708,0.35,4
36.881,7.311921,7.304326,0.35,4
36.98,7.307219,7.311921,0.35,4
37.08,7.311921,7.307219,0.35,4
37.18,7.314453,7.311921,0.35,4
37.28,7.307942,7.314453,0.35,4
37.38,7.299985,7.307942,0.35,4
37.48,7.305772,7.299985,0.35,4
37.58,7.304326,7.305772,0.35,4
37.68,7.310474,7.304326,0.35,4
37.781,7.307581,7.310474,0.35,4
37.88,7.304688,7.307581,0.35,4
37.98,7.317347,7.304688,0.35,4
38.08,7.310113,7.317347,0.35,4
38.18,7.307942,7.310113,0.35,4
38.28,7.310474,7.307942,0.35,4
38.38,7.306134,7.310474,0.35,4
38.48,7.312644,7.306134,0.35,4
38.58,7.307581,7.312644,0.35,4
38.68,7.305411,7.307581,0.35,4
38.781,7.295645,7.305411,0.35,4
38.88,7.309751,7.295645,0.35,4
38.98,7.311921,7.309751,0.35,4
39.08,7.308304,7.311921,0.35,4
39.179,7.314091,7.308304,0.35,4
39.28,7.315176,7.314091,0.35,4
39.38,7.305411,7.315176,0.35,4
39.48,7.295645,7.305411,0.35,4
39.58,7.310113,7.295645,0.35,4
39.68,7.311198,7.310113,0.35,4
39.78,7.300709,7.311198,0.35,4
39.881,7.314815,7.300709,0.35,4
39.98,7.303241,7.314815,0.35,4
40.08,7.311921,7.303241,0.35,4
40.18,7.307581,7.311921,0.35,4
40.28,7.305411,7.307581,0.35,4
40.38,7.3159,7.305411,0.35,4
40.48,7.316261,7.3159,0.35,4
40.581,7.308666,7.316261,0.35,4
40.68,7.305772,7.308666,0.35,4
40.78,7.306496,7.305772,0.35,4
40.881,7.314091,7.306496,0.35,4
40.98,7.306858,7.314091,0.35,4
41.08,7.306134,7.306858,0.35,4
41.18,7.313368,7.306134,0.35,4
41.28,7.308666,7.313368,0.35,4
41.38,7.307581,7.308666,0.35,4
41.48,7.306134,7.307581,0.35,4
41.58,7.302879,7.306134,0.35,4
41.68,7.307942,7.302879,0.35,4
41.78,7.306496,7.307942,0.35,4
41.879,7.310113,7.306496,0.35,4
41.98,7.307581,7.310113,0.35,4
42.08,7.312283,7.307581,0.35,4
42.18,7.303964,7.312283,0.35,4
42.28,7.303964,7.303964,0.35,4
42.379,7.303602,7.303964,0.35,4
42.48,7.2989,7.303602,0.35,4
42.58,7.305411,7.2989,0.35,4
42.68,7.312644,7.305411,0.35,4
42.78,7.306858,7.312644,0.35,4
42.879,7.295283,7.306858,0.35,4
42.98,7.294922,7.295283,0.35,4
43.08,7.286964,7.294922,0.35,4
43.18,7.294922,7.286964,0.35,4
43.28,7.299623,7.294922,0.35,4
43.378,7.296369,7.299623,0.35,4
43.48,7.288773,7.296369,0.35,4
43.58,7.292028,7.288773,0.35,4
43.68,7.28805,7.292028,0.35,4
43.78,7.294922,7.28805,0.35,4
43.879,7.300347,7.294922,0.35,4
43.98,7.296007,7.300347,0.35,4
44.081,7.301432,7.296007,0.35,4
44.18,7.285156,7.301432,0.35,4
44.28,7.288773,7.285156,0.35,4
44.38,7.291305,7.288773,0.35,4
44.48,7.2989,7.291305,0.35,4
44.58,7.290582,7.2989,0.35,4
44.68,7.286603,7.290582,0.35,4
44.78,7.289858,7.286603,0.35,4
44.88,7.29239,7.289858,0.35,4
44.98,7.288773,7.29239,0.35,4
45.08,7.300347,7.288773,0.35,4
45.18,7.293837,7.300347,0.35,4
45.28,7.287326,7.293837,0.35,4
45.38,7.292752,7.287326,0.35,4
45.481,7.300709,7.292752,0.35,4
45.58,7.299623,7.300709,0.35,4
45.68,7.299623,7.299623,0.35,4
45.78,7.289858,7.299623,0.35,4
45.88,7.297092,7.289858,0.35,4
45.98,7.29673,7.297092,0.35,4
46.08,7.299985,7.29673,0.35,4
46.18,7.284071,7.299985,0.35,4
46.28,7.29456,7.284071,0.35,4
46.38,7.284794,7.29456,0.35,4
46.48,7.286603,7.284794,0.35,4
46.58,7.282986,7.286603,0.35,4
46.68,7.295283,7.282986,0.35,4
46.781,7.295645,7.295283,0.35,4
46.88,7.289858,7.295645,0.35,4
46.98,7.284794,7.289858,0.35,4
47.08,7.291305,7.284794,0.35,4
47.18,7.285518,7.291305,0.35,4
47.28,7.280092,7.285518,0.35,4
47.38,7.285518,7.280092,0.35,4
47.48,7.286964,7.285518,0.35,4
47.58,7.286603,7.286964,0.35,4
47.68,7.275752,7.286603,0.35,4
47.78,7.279007,7.275752,0.35,4
47.88,7.281901,7.279007,0.35,4
47.98,7.284071,7.281901,0.35,4
48.08,7.277561,7.284071,0.35,4
48.181,7.274305,7.277561,0.35,4
48.28,7.284794,7.274305,0.35,4
48.38,7.288411,7.284794,0.35,4
48.48,7.277922,7.288411,0.35,4
48.58,7.284794,7.277922,0.35,4
48.68,7.281901,7.284794,0.35,4
48.78,7.274305,7.281901,0.35,4
48.88,7.271774,7.274305,0.35,4
48.98,7.275752,7.271774,0.35,4
49.08,7.287326,7.275752,0.35,4
49.18,7.276837,7.287326,0.35,4
49.28,7.277199,7.276837,0.35,4
49.38,7.269242,7.277199,0.35,4
49.48,7.274667,7.269242,0.35,4
49.58,7.274305,7.274667,0.35,4
49.68,7.265625,7.274305,0.35,4
49.78,7.26888,7.265625,0.35,4
49.881,7.267795,7.26888,0.35,4
49.98,7.268518,7.267795,0.35,4
50.08,7.258029,7.268518,0.35,4
50.18,7.263093,7.258029,0.35,4
50.28,7.264178,7.263093,0.35,4
50.38,7.26671,7.264178,0.35,4
50.48,7.26671,7.26671,0.35,4
50.58,7.261285,7.26671,0.35,4
50.68,7.256944,7.261285,0.35,4
50.78,7.261285,7.256944,0.35,4
50.88,7.262008,7.261285,0.35,4
50.98,7.26454,7.262008,0.35,4
51.08,7.26454,7.26454,0.35,4
51.18,7.253689,7.26454,0.35,4
51.28,7.268157,7.253689,0.35,4
51.38,7.26888,7.268157,0.35,4
51.48,7.263816,7.26888,0.35,4
51.58,7.268157,7.263816,0.35,4
51.68,7.272497,7.268157,0.35,4
51.78,7.283348,7.272497,0.35,4
51.88,7.274667,7.283348,0.35,4
51.98,7.266348,7.274667,0.35,4
52.08,7.265625,7.266348,0.35,4
52.181,7.270327,7.265625,0.35,4
52.28,7.272859,7.270327,0.35,4
52.381,7.275391,7.272859,0.35,4
52.48,7.276114,7.275391,0.35,4
52.58,7.271412,7.276114,0.35,4
52.68,7.282986,7.271412,0.35,4
52.78,7.279007,7.282986,0.35,4
52.879,7.27105,7.279007,0.35,4
52.98,7.263455,7.27105,0.35,4
53.08,7.267795,7.263455,0.35,4
53.18,7.272497,7.267795,0.35,4
53.28,7.263816,7.272497,0.35,4
53.379,7.256944,7.263816,0.35,4
53.48,7.255859,7.256944,0.35,4
53.58,7.262732,7.255859,0.35,4
53.68,7.264902,7.262732,0.35,4
53.78,7.277199,7.264902,0.35,4
53.88,7.282263,7.277199,0.35,4
53.98,7.277922,7.282263,0.35,4
54.08,7.278646,7.277922,0.35,4
54.18,7.263816,7.278646,0.35,4
54.28,7.258753,7.263816,0.35,4
54.38,7.260923,7.258753,0.35,4
54.48,7.26454,7.260923,0.35,4
54.58,7.267795,7.26454,0.35,4
54.68,7.264178,7.267795,0.35,4
54.78,7.271412,7.264178,0.35,4
54.881,7.277922,7.271412,0.35,4
54.98,7.275752,7.277922,0.35,4
55.08,7.282624,7.275752,0.35,4
55.18,7.275029,7.282624,0.35,4
55.28,7.267795,7.275029,0.35,4
55.38,7.272859,7.267795,0.35,4
55.48,7.277199,7.272859,0.35,4
55.58,7.277199,7.277199,0.35,4
55.68,7.280454,7.277199,0.35,4
55.779,7.274667,7.280454,0.35,4
55.879,7.27105,7.274667,0.35,4
55.98,7.274667,7.27105,0.35,4
56.08,7.274667,7.274667,0.35,4
56.18,7.277199,7.274667,0.35,4
56.28,7.285156,7.277199,0.35,4
56.379,7.284071,7.285156,0.35,4
56.48,7.275029,7.284071,0.35,4
56.58,7.286603,7.275029,0.35,4
56.68,7.282624,7.286603,0.35,4
56.78,7.281901,7.282624,0.35,4
56.88,7.275391,7.281901,0.35,4
56.981,7.285156,7.275391,0.35,4
57.08,7.285156,7.285156,0.35,4
57.18,7.28588,7.285156,0.35,4
57.28,7.287688,7.28588,0.35,4
57.38,7.28805,7.287688,0.35,4
57.481,7.287326,7.28805,0.35,4
57.58,7.278284,7.287326,0.35,4
57.68,7.281178,7.278284,0.35,4
57.78,7.29022,7.281178,0.35,4
57.88,7.287326,7.29022,0.35,4
57.98,7.287326,7.287326,0.35,4
58.08,7.283348,7.287326,0.35,4
58.18,7.28588,7.283348,0.35,4
58.28,7.288411,7.28588,0.35,4
58.379,7.280092,7.288411,0.35,4
58.48,7.279007,7.280092,0.35,4
58.58,7.287688,7.279007,0.35,4
58.68,7.26888,7.287688,0.35,4
58.78,7.276475,7.26888,0.35,4
58.881,7.284071,7.276475,0.35,4
58.981,7.285156,7.284071,0.35,4
59.08,7.298177,7.285156,0.35,4
59.18,7.295283,7.298177,0.35,4
59.28,7.288773,7.295283,0.35,4
59.381,7.298539,7.288773,0.35,4
59.48,7.304688,7.298539,0.35,4
59.58,7.302879,7.304688,0.35,4
59.68,7.294922,7.302879,0.35,4
59.78,7.304326,7.294922,0.35,4
59.88,7.305772,7.304326,0.35,4
59.98,7.299623,7.305772,0.35,4
60.08,7.297092,7.299623,0.35,4
60.18,7.305772,7.297092,0.35,4
60.279,7.300709,7.305772,0.35,4
60.38,7.297815,7.300709,0.35,4
60.48,7.296369,7.297815,0.35,4
60.58,7.305049,7.296369,0.35,4
60.68,7.298539,7.305049,0.35,4
60.779,7.303241,7.298539,0.35,4
60.88,7.297453,7.303241,0.35,4
60.98,7.293837,7.297453,0.35,4
61.08,7.293837,7.293837,0.35,4
61.18,7.295645,7.293837,0.35,4
61.28,7.294199,7.295645,0.35,4
61.38,7.301794,7.294199,0.35,4
61.48,7.304688,7.301794,0.35,4
61.58,7.293113,7.304688,0.35,4
61.68,7.292752,7.293113,0.35,4
61.779,7.294199,7.292752,0.35,4
61.88,7.28588,7.294199,0.35,4
61.98,7.282986,7.28588,0.35,4
62.08,7.274305,7.282986,0.35,4
62.18,7.288411,7.274305,0.35,4
62.28,7.287688,7.288411,0.35,4
62.38,7.284794,7.287688,0.35,4
62.48,7.286241,7.284794,0.35,4
62.58,7.287688,7.286241,0.35,4
62.68,7.284433,7.287688,0.35,4
62.78,7.282624,7.284433,0.35,4
62.88,7.280092,7.282624,0.35,4
62.981,7.282624,7.280092,0.35,4
63.08,7.28588,7.282624,0.35,4
63.179,7.293475,7.28588,0.35,4
63.28,7.288411,7.293475,0.35,4
63.38,7.283348,7.288411,0.35,4
63.48,7.281901,7.283348,0.35,4
63.58,7.282624,7.281901,0.35,4
63.68,7.285156,7.282624,0.35,4
63.78,7.282986,7.285156,0.35,4
63.88,7.282624,7.282986,0.35,4
63.98,7.283348,7.282624,0.35,4
64.08,7.286241,7.283348,0.35,4
64.181,7.277922,7.286241,0.35,4
64.28,7.277922,7.277922,0.35,4
64.38,7.272859,7.277922,0.35,4
64.48,7.275391,7.272859,0.35,4
64.58,7.272135,7.275391,0.35,4
64.68,7.282986,7.272135,0.35,4
64.78,7.279731,7.282986,0.35,4
64.88,7.282263,7.279731,0.35,4
64.98,7.275029,7.282263,0.35,4
65.08,7.282263,7.275029,0.35,4
65.18,7.27105,7.282263,0.35,4
65.28,7.272497,7.27105,0.35,4
65.381,7.271412,7.272497,0.35,4
65.48,7.279007,7.271412,0.35,4
65.58,7.273221,7.279007,0.35,4
65.68,7.259838,7.273221,0.35,4
65.779,7.253327,7.259838,0.35,4
65.88,7.258753,7.253327,0.35,4
65.98,7.254774,7.258753,0.35,4
66.081,7.246817,7.254774,0.35,4
66.181,7.248625,7.246817,0.35,4
66.28,7.256944,7.248625,0.35,4
66.379,7.258029,7.256944,0.35,4
66.481,7.259114,7.258029,0.35,4
66.58,7.260561,7.259114,0.35,4
66.68,7.252604,7.260561,0.35,4
66.78,7.255136,7.252604,0.35,4
66.88,7.253327,7.255136,0.35,4
66.98,7.253689,7.253327,0.35,4
67.08,7.263093,7.253689,0.35,4
67.18,7.255136,7.263093,0.35,4
67.28,7.255136,7.255136,0.35,4
67.38,7.258753,7.255136,0.35,4
67.48,7.270689,7.258753,0.35,4
67.58,7.273582,7.270689,0.35,4
67.681,7.279731,7.273582,0.35,4
67.78,7.271774,7.279731,0.35,4
67.88,7.278284,7.271774,0.35,4
67.979,7.273221,7.278284,0.35,4
68.08,7.288773,7.273221,0.35,4
68.18,7.284071,7.288773,0.35,4
68.28,7.282263,7.284071,0.35,4
68.38,7.279731,7.282263,0.35,4
68.481,7.277199,7.279731,0.35,4
68.58,7.280454,7.277199,0.35,4
68.68,7.286964,7.280454,0.35,4
68.78,7.292028,7.286964,0.35,4
68.88,7.292752,7.292028,0.35,4
68.98,7.29456,7.292752,0.35,4
69.08,7.285156,7.29456,0.35,4
69.18,7.288411,7.285156,0.35,4
69.28,7.291305,7.288411,0.35,4
69.38,7.294199,7.291305,0.35,4
69.48,7.294199,7.294199,0.35,4
69.579,7.28588,7.294199,0.35,4
69.68,7.287326,7.28588,0.35,4
