t,r,snimac1,ym,spir,theta1,theta2,theta3,ypb,Ts,vent
11.400204,0.089059,5.982910,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.500208,0.089832,5.963345,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.600209,0.090604,5.973127,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
11.700212,0.091377,5.992692,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.800216,0.092149,6.022040,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
11.900220,0.092921,6.031823,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
12.000221,0.093692,6.002475,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.100220,0.094464,6.022040,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.200221,0.095235,6.002475,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.300220,0.096006,6.051388,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.400224,0.096776,6.051388,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
12.500225,0.097547,6.070953,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.600229,0.098317,6.022040,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
12.700232,0.099087,6.031823,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
12.800232,0.099857,6.041605,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
12.900237,0.100626,6.070953,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
13.000236,0.101395,6.070953,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.100240,0.102164,6.080736,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100004,6.000000
13.200241,0.102933,6.041605,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.300240,0.103702,6.061171,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.400240,0.104470,6.080736,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
13.500241,0.105238,6.100301,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.100000,6.000000
