t,r_l,r_g,r_gf,snimac1,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,Ts,vent
11.900189,0.000000,6.341200,1.886363,3.094361,0.000000,0.000000,-10.406167,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
12.000188,0.000000,6.341200,1.909708,3.114174,0.000000,0.000000,-10.476599,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
12.100189,0.000000,6.341200,1.933032,3.114174,0.000000,0.000000,-10.467616,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
12.200188,0.000000,6.341200,1.956333,3.084453,0.000000,0.000000,-10.338210,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
12.300192,0.000000,6.341200,1.979608,3.104268,0.000000,0.000000,-10.403337,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
12.400193,0.000000,6.341200,2.002857,3.094361,0.000000,0.000000,-10.349442,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
12.500192,0.000000,6.341200,2.026077,3.084453,0.000000,0.000000,-10.293336,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
12.600193,0.000000,6.341200,2.049266,3.084453,0.000000,0.000000,-10.274668,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
12.700193,0.000000,6.341200,2.072422,3.074545,0.000000,0.000000,-10.214871,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
12.800196,0.000000,6.341200,2.095545,3.084453,0.000000,0.000000,-10.232161,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
12.900197,0.000000,6.341200,2.118633,3.074545,0.000000,0.000000,-10.169402,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
13.000197,0.000000,6.341200,2.141683,3.054724,0.000000,0.000000,-10.064835,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
13.100200,0.000000,6.341200,2.164694,3.094361,0.000000,0.000000,-10.195250,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
13.200201,0.000000,6.341200,2.187666,3.084453,0.000000,0.000000,-10.128811,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
13.300201,0.000000,6.341200,2.210595,3.074545,0.000000,0.000000,-10.060235,0.000000,0.000000,1,1.480000,2.770000,0.100000,6.000000
13.400204,0.000000,6.341200,2.233481,3.064635,0.000000,0.000000,-9.989529,0.000000,0.000000,1,1.480000,2.770000,0.100004,6.000000
