t,Ts,snimac1,setpoint_pb,y_pb,u_pb,u,vent
14.600264,0.100004,6.119866,0.350000,6.119866,4.000000,4.000000,6.000000
14.700264,0.100000,6.080736,0.350000,6.080736,4.000000,4.000000,6.000000
14.800265,0.100000,6.100301,0.350000,6.100301,4.000000,4.000000,6.000000
14.900264,0.100000,6.110084,0.350000,6.110084,4.000000,4.000000,6.000000
15.000265,0.100000,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
15.100269,0.100004,6.110084,0.350000,6.110084,4.000000,4.000000,6.000000
15.200272,0.100004,6.119866,0.350000,6.119866,4.000000,4.000000,6.000000
15.300272,0.100000,6.080736,0.350000,6.080736,4.000000,4.000000,6.000000
15.400277,0.100004,6.100301,0.350000,6.100301,4.000000,4.000000,6.000000
15.500276,0.100000,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
15.600276,0.100000,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
15.700281,0.100004,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
15.800285,0.100004,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
15.900288,0.100004,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
16.000288,0.100000,6.119866,0.350000,6.119866,4.000000,4.000000,6.000000
16.100288,0.100000,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
16.200292,0.100004,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
16.300296,0.100004,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
16.400299,0.100004,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
16.500303,0.100004,6.119866,0.350000,6.119866,4.000000,4.000000,6.000000
16.600307,0.100004,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
16.700307,0.100000,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
16.800308,0.100000,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
16.900312,0.100004,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
17.000316,0.100004,6.119866,0.350000,6.119866,4.000000,4.000000,6.000000
17.100320,0.100004,6.119866,0.350000,6.119866,4.000000,4.000000,6.000000
17.200319,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
17.300319,0.100000,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
17.400320,0.100000,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
17.500324,0.100004,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
17.600324,0.100000,6.100301,0.350000,6.100301,4.000000,4.000000,6.000000
17.700323,0.100000,6.100301,0.350000,6.100301,4.000000,4.000000,6.000000
17.800327,0.100004,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
17.900327,0.100000,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
18.000328,0.100000,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
18.100332,0.100004,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
18.200332,0.100000,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
18.300336,0.100004,6.149215,0.350000,6.149215,4.000000,4.000000,6.000000
18.400335,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
18.500339,0.100004,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
18.600343,0.100004,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
18.700347,0.100004,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
18.800348,0.100000,6.129650,0.350000,6.129650,4.000000,4.000000,6.000000
18.900348,0.100000,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
19.000347,0.100000,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
19.100347,0.100000,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
19.200351,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
19.300352,0.100000,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
19.400352,0.100000,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
19.500352,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
19.600351,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
19.700351,0.100000,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
19.800355,0.100004,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
19.900360,0.100004,6.139432,0.350000,6.139432,4.000000,4.000000,6.000000
20.000364,0.100004,6.158998,0.350000,6.158998,4.000000,4.000000,6.000000
20.100368,0.100004,6.188346,0.350000,6.188346,4.000000,4.000000,6.000000
20.200368,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
20.300367,0.100000,6.168780,0.350000,6.168780,4.000000,4.000000,6.000000
20.400367,0.100000,6.178564,0.350000,6.178564,4.000000,4.000000,6.000000
