t,r,y,ym,u,t1,t2,t3,ypb
96.65,0.4993079,6.187428,0,3,0,0,0,0
96.85,0.4993881,6.177662,0,3,0,0,0,0
97.05,0.4994633,6.176577,0,3,0,0,0,0
97.25,0.4995336,6.193938,0,3,0,0,0,0
97.45,0.499599,6.179471,0,3,0,0,0,0
97.648,0.4996588,6.184896,0,3,0,0,0,0
97.851,0.4997151,6.187066,0,3,0,0,0,0
98.05,0.4997655,6.19213,0,3,0,0,0,0
98.25,0.4998111,6.185257,0,3,0,0,0,0
98.45,0.4998518,6.17513,0,3,0,0,0,0
98.65,0.4998876,6.188874,0,3,0,0,0,0
98.85,0.4999184,6.186704,0,3,0,0,0,0
99.05,0.4999443,6.177662,0,3,0,0,0,0
99.25,0.4999653,6.180917,0,3,0,0,0,0
99.45,0.4999813,6.186704,0,3,0,0,0,0
99.65,0.4999924,6.171875,0,3,0,0,0,0
99.849,0.4999986,6.187789,0,3,0,0,0,0
100.05,0.4999999,6.183087,0,3,0,0,0,0
100.25,0.4999962,6.184896,0,3,0,0,0,0
100.45,0.4999875,6.179832,0,3,0,0,0,0
100.65,0.4999739,6.184172,0,3,0,0,0,0
100.85,0.4999554,6.185257,0,3,0,0,0,0
101.051,0.4999319,6.180917,0,3,0,0,0,0
101.25,0.4999036,6.180555,0,3,0,0,0,0
101.45,0.4998703,6.17296,0,3,0,0,0,0
101.65,0.4998321,6.180555,0,3,0,0,0,0
101.85,0.4997889,6.183811,0,3,0,0,0,0
102.05,0.4997408,6.184172,0,3,0,0,0,0
102.25,0.4996878,6.197193,0,3,0,0,0,0
102.45,0.4996298,6.185981,0,3,0,0,0,0
102.651,0.4995666,6.179832,0,3,0,0,0,0
102.85,0.4994991,6.178385,0,3,0,0,0,0
103.05,0.4994263,6.182002,0,3,0,0,0,0
