time,r,snimac1,ym,spir,theta1,theta2,theta3,y0
17.1,0.13269392352597,6.5625,0,3,0,0,0,0
17.2,0.133450994660188,6.533203125,0,3,0,0,0,0
17.3,0.134207736517342,6.513671875,0,3,0,0,0,0
17.4,0.134964147230248,6.5283203125,0,3,0,0,0,0
17.5,0.135720224932537,6.494140625,0,3,0,0,0,0
17.6,0.136475967758663,6.5380859375,0,3,0,0,0,0
17.7,0.137231373843904,6.5380859375,0,3,0,0,0,0
17.8,0.137986441324373,6.533203125,0,3,0,0,0,0
17.9,0.138741168337014,6.4892578125,0,3,0,0,0,0
18,0.139495553019615,6.474609375,0,3,0,0,0,0
18.1,0.140249593510805,6.5185546875,0,3,0,0,0,0
18.2,0.141003287950065,6.5283203125,0,3,0,0,0,0
18.3,0.141756634477728,6.5185546875,0,3,0,0,0,0
18.4,0.142509631234988,6.484375,0,3,0,0,0,0
18.5,0.143262276363899,6.4990234375,0,3,0,0,0,0
18.6,0.144014568007385,6.494140625,0,3,0,0,0,0
18.7,0.14476650430924,6.5234375,0,3,0,0,0,0
18.8,0.145518083414136,6.533203125,0,3,0,0,0,0
18.9,0.146269303467627,6.50390625,0,3,0,0,0,0
19,0.147020162616152,6.5087890625,0,3,0,0,0,0
19.1,0.147770659007041,6.4892578125,0,3,0,0,0,0
19.2,0.148520790788517,6.5185546875,0,3,0,0,0,0
19.3,0.149270556109707,6.5283203125,0,3,0,0,0,0
19.4,0.150019953120638,6.4990234375,0,3,0,0,0,0
19.5,0.150768979972248,6.4599609375,0,3,0,0,0,0
19.6,0.151517634816387,6.46484375,0,3,0,0,0,0
19.7,0.152265915805824,6.4794921875,0,3,0,0,0,0
19.8,0.15301382109425,6.4990234375,0,3,0,0,0,0
19.9,0.153761348836284,6.50390625,0,3,0,0,0,0
20,0.154508497187474,6.5087890625,0,3,0,0,0,0
20.1,0.155255264304306,6.4697265625,0,3,0,0,0,0
20.2,0.156001648344207,6.435546875,0,3,0,0,0,0
20.3,0.156747647465549,6.474609375,0,3,0,0,0,0
20.4,0.157493259827652,6.4794921875,0,3,0,0,0,0
20.5,0.158238483590793,6.5283203125,0,3,0,0,0,0
20.6,0.158983316916205,6.4697265625,0,3,0,0,0,0
20.7,0.159727757966088,6.435546875,0,3,0,0,0,0
20.8,0.160471804903605,6.4599609375,0,3,0,0,0,0
20.9,0.161215455892895,6.46484375,0,3,0,0,0,0
21,0.161958709099075,6.4697265625,0,3,0,0,0,0
21.1,0.162701562688239,6.4892578125,0,3,0,0,0,0
21.2,0.163444014827471,6.4453125,0,3,0,0,0,0
21.3,0.164186063684844,6.435546875,0,3,0,0,0,0
21.4,0.164927707429426,6.474609375,0,3,0,0,0,0
