t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l,vent
16.346,0,6.3412,2.872861,3.573857,0,0,-13.41444,0,0,1,1.48,2.77,6
16.445,0,6.3412,2.893918,3.569878,0,0,-13.36336,0,0,1,1.48,2.77,6
16.546,0,6.3412,2.914902,3.577112,0,0,-13.35568,0,0,1,1.48,2.77,6
16.646,0,6.3412,2.935811,3.575665,0,0,-13.31261,0,0,1,1.48,2.77,6
16.746,0,6.3412,2.956643,3.569517,0,0,-13.24948,0,0,1,1.48,2.77,6
16.846,0,6.3412,2.9774,3.561559,0,0,-13.17752,0,0,1,1.48,2.77,6
16.945,0,6.3412,2.99808,3.564453,0,0,-13.14727,0,0,1,1.48,2.77,6
17.046,0,6.3412,3.018683,3.568793,0,0,-13.12186,0,0,1,1.48,2.77,6
17.146,0,6.3412,3.039209,3.563368,0,0,-13.05657,0,0,1,1.48,2.77,6
17.245,0,6.3412,3.059656,3.563368,0,0,-13.01147,0,0,1,1.48,2.77,6
17.345,0,6.3412,3.080024,3.560474,0,0,-12.95368,0,0,1,1.48,2.77,6
17.445,0,6.3412,3.100313,3.565538,0,0,-12.92641,0,0,1,1.48,2.77,6
17.546,0,6.3412,3.120522,3.561921,0,0,-12.86367,0,0,1,1.48,2.77,6
17.646,0,6.3412,3.140651,3.560113,0,0,-12.80682,0,0,1,1.48,2.77,6
17.746,0,6.3412,3.1607,3.558666,0,0,-12.7502,0,0,1,1.48,2.77,6
17.846,0,6.3412,3.180668,3.562283,0,0,-12.71266,0,0,1,1.48,2.77,6
17.945,0,6.3412,3.200554,3.558666,0,0,-12.64536,0,0,1,1.48,2.77,6
18.046,0,6.3412,3.220359,3.566623,0,0,-12.62303,0,0,1,1.48,2.77,6
18.146,0,6.3412,3.240082,3.560474,0,0,-12.54378,0,0,1,1.48,2.77,6
18.246,0,6.3412,3.259722,3.556134,0,0,-12.47029,0,0,1,1.48,2.77,6
18.345,0,6.3412,3.27928,3.554326,0,0,-12.40557,0,0,1,1.48,2.77,6
18.446,0,6.3412,3.298755,3.556134,0,0,-12.35416,0,0,1,1.48,2.77,6
18.546,0,6.3412,3.318147,3.558666,0,0,-12.30474,0,0,1,1.48,2.77,6
18.646,0,6.3412,3.337455,3.553241,0,0,-12.22264,0,0,1,1.48,2.77,6
18.746,0,6.3412,3.356678,3.552155,0,0,-12.15651,0,0,1,1.48,2.77,6
18.845,0,6.3412,3.375818,3.553602,0,0,-12.09942,0,0,1,1.48,2.77,6
18.946,0,6.3412,3.394874,3.551432,0,0,-12.02696,0,0,1,1.48,2.77,6
19.046,0,6.3412,3.413845,3.542028,0,0,-11.92442,0,0,1,1.48,2.77,6
19.146,0,6.3412,3.432731,3.553964,0,0,-11.90559,0,0,1,1.48,2.77,6
19.246,0,6.3412,3.451532,3.549262,0,0,-11.82007,0,0,1,1.48,2.77,6
19.346,0,6.3412,3.470248,3.546007,0,0,-11.73902,0,0,1,1.48,2.77,6
19.446,0,6.3412,3.488879,3.547815,0,0,-11.67704,0,0,1,1.48,2.77,6
19.546,0,6.3412,3.507424,3.550709,0,0,-11.61856,0,0,1,1.48,2.77,6
19.646,0,6.3412,3.525884,3.548177,0,0,-11.53762,0,0,1,1.48,2.77,6
19.745,0,6.3412,3.544257,3.54456,0,0,-11.45122,0,0,1,1.48,2.77,6
19.846,0,6.3412,3.562545,3.53588,0,0,-11.34337,0,0,1,1.48,2.77,6
19.945,0,6.3412,3.580747,3.539135,0,0,-11.28172,0,0,1,1.48,2.77,6
20.046,0,6.3412,3.598862,3.542752,0,0,-11.22081,0,0,1,1.48,2.77,6
20.145,0,6.3412,3.616891,3.540581,0,0,-11.13608,0,0,1,1.48,2.77,6
20.245,0,6.3412,3.634834,3.541667,0,0,-11.06331,0,0,1,1.48,2.77,6
20.346,0,6.3412,3.652691,3.548177,0,0,-11.0114,0,0,1,1.48,2.77,6
20.446,0,6.3412,3.670461,3.54673,0,0,-10.92722,0,0,1,1.48,2.77,6
20.546,0,6.3412,3.688144,3.538411,0,0,-10.81455,0,0,1,1.48,2.77,6
20.646,0,6.3412,3.705741,3.53805,0,0,-10.73223,0,0,1,1.48,2.77,6
20.745,0,6.3412,3.723251,3.539496,0,0,-10.65624,0,0,1,1.48,2.77,6
20.846,0,6.3412,3.740674,3.53805,0,0,-10.5679,0,0,1,1.48,2.77,6
20.946,0,6.3412,3.758011,3.537326,0,0,-10.48148,0,0,1,1.48,2.77,6
