t,r,y,ym,u,theta1,theta2,theta3
1361.1,5.28685969830836,5.3593722626182,5.37840110752008,7.85312836334621,0.269740047764027,0.0227979630421937,1.21198468568226
1361.2,5.28621606279729,5.35892451998139,5.37794386674348,7.85238034564898,0.269754455538085,0.0227979491213514,1.21199901394873
1361.3,5.28557172107654,5.35847567750291,5.37748569342796,7.85163092671663,0.269768855471269,0.0227979351489229,1.21201333384583
1361.4,5.28492667473596,5.3580258477733,5.37702658870402,7.8508802967935,0.26978324768816,0.022797921125578,1.21202764549824
1361.5,5.28428092536713,5.35757510786791,5.37656655370445,7.850128470891,0.26979763222898,0.0227979070505556,1.21204194894673
1361.6,5.28363447456338,5.35712346838653,5.37610558956434,7.84937543842262,0.269812009076421,0.0227978929247185,1.21205624417487
1361.7,5.28298732391975,5.35667092767893,5.37564369742107,7.848621197786,0.269826378206054,0.0227978787474212,1.21207053115916
1361.8,5.28233947503304,5.35621742120152,5.37518087841433,7.8478657188866,0.269840739595536,0.0227978645195293,1.21208480987817
1361.9,5.28169092950173,5.35576323360709,5.37471713368606,7.84710916033617,0.269855093272279,0.0227978502403532,1.21209908035994
1362,5.28104168892606,5.35530803607735,5.37425246438051,7.84635129346438,0.269869439049083,0.0227978359108777,1.21211334241915
1362.1,5.28039175490797,5.35485193887393,5.37378687164422,7.84559225069348,0.269883776988541,0.0227978215305488,1.21212759611882
1362.2,5.27974112905108,5.35439494935791,5.37332035662597,7.84483201224566,0.269898107070634,0.0227978070999903,1.21214184143986
1362.3,5.27908981296077,5.35393706622304,5.37285292047685,7.84407057743997,0.269912429270677,0.022797792618804,1.21215607835852
1362.4,5.27843780824409,5.35347821814346,5.37238456435022,7.84330791273033,0.269926743565829,0.0227977780876153,1.2121703068529
1362.5,5.2777851165098,5.35301870521477,5.37191528940169,7.84254418605102,0.269941049988123,0.022797763505973,1.21218452695566
1362.6,5.27713173936835,5.35255818496386,5.37144509678916,7.84177915832632,0.269955348343378,0.0227977488746316,1.21219873847459
1362.7,5.27647767843187,5.35209677288947,5.37097398767277,7.84101296775681,0.269969638697463,0.0227977341932814,1.21221294147598
1362.8,5.27582293531421,5.35163447625104,5.37050196321495,7.84024559332851,0.269983921029722,0.0227977194623007,1.21222713594012
1362.9,5.27516751163088,5.35117129463965,5.37002902458037,7.83947703483896,0.269998195314909,0.0227977046815419,1.21224132184273
1363,5.27451140899907,5.35070694605322,5.36955517293594,7.83870715361847,0.270012461528963,0.0227976898513881,1.21225549916072
1363.1,5.27385462903764,5.35024219272456,5.36908040945087,7.83793639748192,0.270026719862056,0.0227976749714698,1.2122696680839
1363.2,5.27319717336713,5.34977654456363,5.36860473529658,7.83716434645154,0.270040969928624,0.0227976600423848,1.21228382822996
1363.3,5.27253904360976,5.34930986828834,5.36812815164674,7.83639104766357,0.270055211714765,0.0227976450644112,1.21229797958591
1363.4,5.2718802413894,5.34884231016456,5.36765065967728,7.83561660720943,0.270069445308288,0.0227976300373751,1.21231212223984
1363.5,5.27122076833156,5.34837387722434,5.36717226056637,7.83484099695162,0.270083670687252,0.022797614961485,1.21232625617079
1363.6,5.27056062606344,5.34790457036643,5.3666929554944,7.83406421739584,0.270097887825302,0.0227975998367711,1.21234038135342
1363.7,5.26989981621387,5.34743438988927,5.36621274564402,7.83328627015169,0.2701120966963,0.0227975846634494,1.21235449776259
1363.8,5.26923834041333,5.34696333524724,5.36573163220009,7.83250715655473,0.270126297274791,0.0227975694415508,1.21236860537387
1363.9,5.26857620029395,5.34649112421995,5.36524961634972,7.83172673784243,0.270140489536635,0.0227975541712886,1.21238270416412
1364,5.2679133974895,5.34601826447043,5.36476669928222,7.83094533518544,0.270154673672002,0.0227975388524613,1.2123967943231
1364.1,5.26724993363537,5.34554493427141,5.36428288218916,7.83016292157528,0.270168849488085,0.0227975234853038,1.21241087566013
1364.2,5.26658581036859,5.34507051628663,5.3637981662643,7.82937914735491,0.270183016658224,0.0227975080704615,1.21242494785158
1364.3,5.26592102932783,5.34459514852942,5.36331255270362,7.82859422545547,0.270197175323453,0.0227974926079107,1.21243901103843
1364.4,5.26525559215337,5.34411890859844,5.36282604270534,7.8278081654246,0.270211325521356,0.022797477097552,1.21245306525885
1364.5,5.26458950048709,5.34364180599012,5.36233863746987,7.8270209560502,0.270225467231756,0.0227974615396132,1.21246711049369
1364.6,5.26392275597253,5.3431638418508,5.36185033819982,7.8262325974222,0.270239600428219,0.0227974459341101,1.21248114671755
1364.7,5.26325536025481,5.34268501682417,5.36136114610004,7.82544309128659,0.270253725084358,0.0227974302812813,1.2124951739051
1364.8,5.26258731498065,5.34220533108558,5.36087106237755,7.8246524392775,0.270267841174225,0.0227974145811441,1.21250919203144
1364.9,5.26191862179839,5.3417244884856,5.36038008824159,7.82386049550083,0.270281948672657,0.022797398833935,1.21252320107246
1365,5.26124928235797,5.34124329945191,5.35988822490358,7.82306773535111,0.270296047779236,0.0227973830394201,1.21253720122723
1365.1,5.26057929831092,5.34076119952209,5.35939547357715,7.82227369045225,0.270310138081976,0.022797367198102,1.21255119208752
1365.2,5.25990867131035,5.34027810946448,5.35890183547812,7.8214784521454,0.270324219596426,0.0227973513104085,1.21256517366968
1365.3,5.25923740301098,5.33979416121326,5.35840731182449,7.82068210701783,0.270338292398946,0.0227973353759804,1.21257914605042
1365.4,5.25856549506908,5.33930936214691,5.35791190383645,7.8198846304132,0.2703523564671,0.0227973193952389,1.21259310920834
1365.5,5.25789294914252,5.33882371368649,5.35741561273636,7.81908602305543,0.270366411773827,0.022797303368019,1.21260706311748
1365.6,5.25721976689075,5.33833721707559,5.35691843974877,7.81828628693888,0.270380458291909,0.0227972872947484,1.21262100775171
1365.7,5.25654594997478,5.33784987355444,5.35642038610042,7.81748542409902,0.270394495994139,0.0227972711752663,1.21263494308493
1365.8,5.25587150005717,5.33736168436606,5.35592145302019,7.81668343657569,0.270408524853296,0.0227972550099981,1.212648869091
1365.9,5.25519641880208,5.33687265075653,5.35542164173916,7.81588032641196,0.270422544842173,0.022797238798787,1.21266278574384
1366,5.25452070787519,5.33638277397503,5.35492095349056,7.81507609565397,0.270436555933548,0.0227972225420557,1.21267669301732
1366.1,5.25384436894375,5.33589205527383,5.35441938950979,7.81427074635099,0.270450558100212,0.0227972062396515,1.21269059088535
