t,r,y,ym,u,theta1,theta2,theta3
219.2,2,2.02225455770532,2.07288468769473,2.88096113031478,1.30771611944793,8.89201747167166,0.164616031743271
219.3,2,2.02124021746724,2.07136349568926,2.88224765577578,1.30771683202275,8.89201746827766,0.164616556495377
219.4,2,2.02025439032001,2.06987405280958,2.8834963214076,1.30771753544806,8.8920174649765,0.164617075613021
219.5,2,2.01929632095506,2.06841569641285,2.88471409343523,1.30771822984487,8.89201746176587,0.16461758914528
219.6,2,2.0183652104664,2.06698777768638,2.88589605085045,1.30771891533353,8.89201745864351,0.164618097141716
219.7,2,2.01746034314116,2.06558966135902,2.88704865567386,1.30771959203447,8.8920174556072,0.164618599652977
219.8,2,2.01658096394425,2.06422072541848,2.88816742441132,1.30772026006735,8.89201745265477,0.164619096730088
219.9,2,2.01572639431232,2.06288036083462,2.88925826999367,1.30772091955177,8.89201744978407,0.164619588425003
220,2,2.01489592115465,2.0615679712885,2.89031719012813,1.30772157060639,8.89201744699301,0.16462007478996
220.1,2,2.01408890078738,2.0602829729071,2.89134951514,1.30772221334968,8.89201744427953,0.164620555877978
220.2,2,2.01330466016808,2.05902479400351,2.89235175471549,1.30772284789909,8.89201744164164,0.16462103174228
220.3,2,2.01254258840778,2.05779287482265,2.89332863708259,1.30772347437171,8.89201743907734,0.164621502436725
220.4,2,2.01180205063022,2.05658666729218,2.89427719944721,1.30772409288355,8.89201743658472,0.16462196801531
220.5,2,2.01108246684714,2.05540563477872,2.8952015643928,1.30772470355011,8.89201743416189,0.164622428532538
220.6,2,2.01038323846918,2.05424925184907,2.89609929551082,1.30772530648581,8.89201743180699,0.164622884042983
220.7,2,2.00970381470401,2.05311700403645,2.89697392302779,1.30772590180439,8.89201742951822,0.164623334601609
220.8,2,2.00904363136859,2.05200838761166,2.89782351882864,1.30772648961848,8.89201742729381,0.164623780263395
220.9,2,2.00840216534297,2.05092290935889,2.89865105053887,1.30772707003993,8.89201742513203,0.164624221083596
221,2,2.00777888497204,2.0498600863564,2.89945506432681,1.30772764317944,8.8920174230312,0.164624657117436
221.1,2,2.00717329345039,2.04881944576156,2.90023800972755,1.30772820914687,8.89201742098965,0.164625088420312
221.2,2,2.00658488978557,2.04780052460057,2.90099885963347,1.30772876805087,8.89201741900579,0.164625515047545
221.3,2,2.0060132022723,2.04680286956247,2.90173960177486,1.30772931999919,8.89201741707803,0.164625937054538
221.4,2,2.00545775874573,2.04582603679741,2.90245957818364,1.30772986509837,8.89201741520485,0.164626354496579
221.5,2,2.00491811150254,2.04486959171925,2.90316037887033,1.30773040345395,8.89201741338473,0.16462676742895
221.6,2,2.00439381542179,2.0439331088122,2.90384165171548,1.30773093517027,8.89201741161621,0.164627175906785
221.7,2,2.00388444579074,2.04301617144148,2.90450465636474,1.30773146035061,8.89201740989787,0.16462757998514
221.8,2,2.003389582822,2.042118371668,2.90514928215683,1.30773197909706,8.89201740822832,0.164627979718881
221.9,2,2.00290882384035,2.04123931006685,2.90577652446247,1.3077324915106,8.89201740660619,0.164628375162737
222,2,2.00244177277481,2.04037859554959,2.90638645291672,1.30773299769099,8.89201740503016,0.164628766371214
222.1,2,2.00198804806833,2.03953584519029,2.90697985946123,1.30773349773689,8.89201740349895,0.16462915339862
222.2,2,2.0015472758573,2.03871068405515,2.90755693961485,1.30773399174573,8.89201740201128,0.16462953629901
222.3,2,2.00111909479913,2.03790274503567,2.90811833453605,1.30773447981377,8.89201740056594,0.164629915126197
222.4,2,2.00070315184452,2.03711166868538,2.90866432029602,1.3077349620361,8.89201739916173,0.164630289933706
222.5,2,2.00029910496672,2.03633710305988,2.90919543005809,1.30773543850661,8.89201739779749,0.164630660774778
222.6,2,1.9999066206543,2.03557870356028,2.90971198517889,1.30773590931801,8.89201739647209,0.164631027702342
222.7,2,1.99952537529979,2.03483613277988,2.91021444343536,1.30773637456182,8.89201739518441,0.164631390769003
222.8,2,1.99915505376365,2.03410906035407,2.9107031459869,1.30773683432835,8.8920173939334,0.164631750027029
222.9,2,1.99879534996618,2.03339716281337,2.91117849846825,1.30773728870676,8.892017392718,0.164632105528337
223,2,1.99844596607337,2.03270012343948,2.91164084489529,1.30773773778499,8.89201739153719,0.164632457324477
223.1,2,1.9981066126538,2.0320176321244,2.9120905542244,1.30773818164982,8.89201739038998,0.164632805466626
223.2,2,1.99777700819898,2.03134938523247,2.91252796311525,1.30773862038685,8.89201738927542,0.164633150005574
223.3,2,1.99745687906642,2.03069508546526,2.91295341344922,1.3077390540805,8.89201738819256,0.164633490991711
223.4,2,1.99714595916635,2.03005444172933,2.91336722912005,1.30773948281403,8.89201738714049,0.164633828475023
223.5,2,1.99684398981368,2.02942716900671,2.91376973054184,1.30773990666954,8.89201738611833,0.164634162505079
223.6,2,1.99655071949196,2.02881298822811,2.91416122651053,1.30774032572795,8.89201738512521,0.164634493131024
223.7,2,1.99626590367541,2.02821162614874,2.91454201912981,1.30774074006908,8.8920173841603,0.164634820401574
223.8,2,1.99598930462797,2.02762281522677,2.91491240151559,1.30774114977156,8.89201738322277,0.164635144365002
223.9,2,1.99572069122175,2.0270462935043,2.91527265927615,1.30774155491292,8.89201738231183,0.164635465069141
224,2,1.99545983875382,2.0264818044908,2.91562307012702,1.30774195556956,8.89201738142673,0.164635782561371
224.1,2,1.99520652877069,2.02592909704901,2.91596390434543,1.30774235181674,8.8920173805667,0.164636096888617
