time,spir_n,snimac1_n
255.1,0,0.0928320290165677
255.2,0,0.115604596041314
255.3,0,0.10908028806606
255.4,0,0.109066396757473
255.5,0,0.10254208878222
255.6,0,0.112293822473633
255.7,0,0.104141910331712
255.8,0,0.0943623940231255
255.9,0,0.110624544381205
256,0,0.0975898197392849
256.1,0,0.105713949264031
256.2,0,0.117093287122111
256.3,0,0.097548145813524
256.4,0,0.113810296171604
256.5,0,0.105658384029683
256.6,0,0.0909960552210964
256.7,0,0.108885809745843
256.8,0,0.112127126770589
256.9,0,0.115368443795335
257,0,0.0876852816534151
257.1,0,0.0990646195114948
257.2,0,0.115326769869575
257.3,0,0.105547253560988
257.4,0,0.0973953414190672
257.5,0,0.0843606167771469
257.6,0,0.100622767135227
257.7,0,0.107119292493306
257.8,0,0.098967380351386
257.9,0,0.094070676542799
258,0,0.0924291810675453
258.1,0,0.089160081425625
258.2,0,0.0989118151170381
258.3,0,0.102153132141784
258.4,0,0.108649657499864
258.5,0,0.0956149328579438
258.6,0,0.106994270716023
258.7,0,0.0955871502407698
258.8,0,0.0874352380988495
258.9,0,0.106952596790263
259,0,0.0955454763150089
259.1,0,0.106924814173089
259.2,0,0.090634881197835
259.3,0,0.0987590107225813
259.4,0,0.0824690777473277
259.5,0,0.0791999781054074
259.6,0,0.0856965034634876
259.7,0,0.0775445913215673
259.8,0,0.0856687208463134
259.9,0,0.08891003787106
260,0,0.0970341673958064
260.1,0,0.103530692753886
260.2,0,0.0953787806119658
260.3,0,0.108385722636712
260.4,0,0.0790749563281252
260.5,0,0.0676678358528715
260.6,0,0.0936956112109512
260.7,0,0.0806608865690309
260.8,0,0.0773917869271106
260.9,0,0.0871435206185236
261,0,0.0920124418099366
261.1,0,0.0936261546680163
261.2,0,0.090357055026096
261.3,0,0.0968535803841757
261.4,0,0.0887016682422554
261.5,0,0.0756669436003351
261.6,0,0.0903014897917481
261.7,0,0.0609907234831611
261.8,0,0.0739976655079075
261.9,0,0.0674733575326538
262,0,0.0772250912240668
262.1,0,0.0788388040821465
262.2,0,0.0690592877735596
262.3,0,0.0853214381316392
262.4,0,0.0625210884897189
262.5,0,0.0901764680144653
262.6,0,0.072258930872545
262.7,0,0.0787554562306247
262.8,0,0.0803691690887044
262.9,0,0.0591964236134507
263,0,0.0852241989715304
263.1,0,0.0689342659962768
263.2,0,0.0575271455210231
263.3,0,0.0868101292124361
263.4,0,0.0770306129038492
263.5,0,0.0818995340952622
263.6,0,0.0753752261200085
263.7,0,0.0607128973114216
263.8,0,0.0623266101695013
263.9,0,0.0737059480275809
264,0,0.0704368483856606
264.1,0,0.083443790410407
264.2,0,0.07366427410182
264.3,0,0.0655123619598997
264.4,0,0.0589880539846461
264.5,0,0.0915262460093924
264.6,0,0.0719811047008054
264.7,0,0.0622015883922185
264.8,0,0.0621876970836315
264.9,0,0.0735670349417112
265,0,0.0735531436331242
265.1,0,0.0637736273245372
265.2,0,0.0572493193492836
265.3,0,0.0702562613740302
265.4,0,0.0637319533987763
265.5,0,0.0767388954235229
265.6,0,0.0653317749482693
265.7,0,0.062062675306349
265.8,0,0.047400346497762
265.9,0,0.0506416635225084
266,0,0.0734142305472547
266.1,0,0.0587519017386677
266.2,0,0.0685036354300808
266.3,0,0.0782553691214938
266.4,0,0.0489446028129068
266.5,0,0.0505583156709865
266.6,0,0.0798412993623995
266.7,0,0.0586685538871459
266.8,0,0.0635374750785589
266.9,0,0.0700340004366386
267,0,0.0732753174613849
267.1,0,0.0716338219861313
267.2,0,0.0667371181775443
267.3,0,0.0569576018689573
267.4,0,0.0601989188937037
267.5,0,0.0666954442517834
267.6,0,-0.0130710512234703
267.7,0,0.0617848491346094
267.8,0,0.0666537703260224
267.9,0,0.0585018581841021
268,0,0.0633707793755152
268.1,0,0.0633568880669282
268.2,0,0.0486945592583412
268.3,0,0.0714671262830876
268.4,0,0.0681980266411673
268.5,0,0.0486528853325803
268.6,0,0.0535218065239933
268.7,0,0.074666769382073
268.8,0,0.0567492322401527
268.9,0,0.0665009659315657
269,0,0.0648594704563121
269.1,0,0.0681007874810584
269.2,0,0.0534384586724714
269.3,0,0.0566797756972178
269.4,0,0.0648039052219642
269.5,0,0.0631624097467105
269.6,0,0.0615209142714569
269.7,0,0.0468585854628699
269.8,0,0.0647483399876162
269.9,0,0.0679896570123626
270,0,0.056582536537109
270.1,0,0.051685832728522
270.2,0,0.061437566419935
270.3,0,0.0679340917780147
270.4,0,0.066292596302761
270.5,0,0.0760443299941741
270.6,0,0.0678924178522538
270.7,0,0.0581129015436671
270.8,0,0.0515885935684131
270.9,0,0.0662231397598261
271,0,0.0613264359512395
271.1,0,0.0580573363093192
271.2,0,0.0629262575007322
271.3,0,0.0368706995254782
271.4,0,0.0515052457168916
271.5,0,0.0433533335749713
271.6,0,0.0628706922663843
