t,r_l,r_g,r_gf,y,y_pb,u,u_g,u_l,u_pb,active_g,Ki_l,Kp_l
416.3,0,4.4884,5.44126496301646,5.5615234375,6.17659505208333,2.00826373177133,2.00826373177133,0,3.99060420751648,1,1.84,3.58
416.4,0,4.4884,5.4353368336664,5.546875,6.17659505208333,2.03472687115722,2.03472687115722,0,3.99060420751648,1,1.84,3.58
416.5,0,4.4884,5.42943198040703,5.5224609375,6.17659505208333,2.10095603647641,2.10095603647641,0,3.99060420751648,1,1.84,3.58
416.6,0,4.4884,5.42355053052949,5.52734375,6.17659505208333,2.05138695996973,2.05138695996973,0,3.99060420751648,1,1.84,3.58
416.7,0,4.4884,5.41769260645146,5.4931640625,6.17659505208333,2.15740848829465,2.15740848829465,0,3.99060420751648,1,1.84,3.58
416.8,0,4.4884,5.41185832580193,5.5126953125,6.17659505208333,2.05066336377315,2.05066336377315,0,3.99060420751648,1,1.84,3.58
416.9,0,4.4884,5.40604780150475,5.5078125,6.17659505208333,2.03989392751556,2.03989392751556,0,3.99060420751648,1,1.84,3.58
417,0,4.4884,5.40026114186093,5.517578125,6.17659505208333,1.97056126004563,1.97056126004563,0,3.99060420751648,1,1.84,3.58
417.1,0,4.4884,5.39449845062984,5.5078125,6.17659505208333,1.97836080630153,1.97836080630153,0,3.99060420751648,1,1.84,3.58
417.2,0,4.4884,5.38875982710919,5.4931640625,6.17659505208333,2.00606807876299,2.00606807876299,0,3.99060420751648,1,1.84,3.58
417.3,0,4.4884,5.38304536621388,5.498046875,6.17659505208333,1.95637068870441,1.95637068870441,0,3.99060420751648,1,1.84,3.58
417.4,0,4.4884,5.37735515855377,5.5029296875,6.17659505208333,1.90602850244894,1.90602850244894,0,3.99060420751648,1,1.84,3.58
417.5,0,4.4884,5.37168929051024,5.498046875,6.17659505208333,1.89410606324859,1.89410606324859,0,3.99060420751648,1,1.84,3.58
417.6,0,4.4884,5.36604784431173,5.4638671875,6.17659505208333,1.99941399754025,1.99941399754025,0,3.99060420751648,1,1.84,3.58
417.7,0,4.4884,5.36043089810813,5.439453125,6.17659505208333,2.06775510870269,2.06775510870269,0,3.99060420751648,1,1.84,3.58
417.8,0,4.4884,5.35483852604418,5.4736328125,6.17659505208333,1.90313531456444,1.90313531456444,0,3.99060420751648,1,1.84,3.58
417.9,0,4.4884,5.34927079833169,5.4541015625,6.17659505208333,1.9506738036626,1.9506738036626,0,3.99060420751648,1,1.84,3.58
418,0,4.4884,5.34372778132085,5.4296875,6.17659505208333,2.01881983212745,2.01881983212745,0,3.99060420751648,1,1.84,3.58
418.1,0,4.4884,5.33820953757039,5.4248046875,6.17659505208333,2.01026092681808,2.01026092681808,0,3.99060420751648,1,1.84,3.58
418.2,0,4.4884,5.33271612591681,5.4296875,6.17659505208333,1.96269436970869,1.96269436970869,0,3.99060420751648,1,1.84,3.58
418.3,0,4.4884,5.32724760154255,5.390625,6.17659505208333,2.0902822760258,2.0902822760258,0,3.99060420751648,1,1.84,3.58
418.4,0,4.4884,5.32180401604318,5.400390625,6.17659505208333,2.02500901613629,2.02500901613629,0,3.99060420751648,1,1.84,3.58
418.5,0,4.4884,5.31638541749364,5.4150390625,6.17659505208333,1.93923980931116,1.93923980931116,0,3.99060420751648,1,1.84,3.58
418.6,0,4.4884,5.31099185051348,5.4248046875,6.17659505208333,1.8716972862401,1.8716972862401,0,3.99060420751648,1,1.84,3.58
418.7,0,4.4884,5.30562335633119,5.3955078125,6.17659505208333,1.95944391092186,1.95944391092186,0,3.99060420751648,1,1.84,3.58
418.8,0,4.4884,5.30027997284748,5.37109375,6.17659505208333,2.02943471505522,2.02943471505522,0,3.99060420751648,1,1.84,3.58
418.9,0,4.4884,5.29496173469782,5.37109375,6.17659505208333,2.00320479805589,2.00320479805589,0,3.99060420751648,1,1.84,3.58
419,0,4.4884,5.28966867331387,5.400390625,6.17659505208333,1.85951581144893,1.85951581144893,0,3.99060420751648,1,1.84,3.58
419.1,0,4.4884,5.28440081698412,5.3662109375,6.17659505208333,1.96741259951191,1.96741259951191,0,3.99060420751648,1,1.84,3.58
419.2,0,4.4884,5.27915819091364,5.37109375,6.17659505208333,1.92118413679388,1.92118413679388,0,3.99060420751648,1,1.84,3.58
419.3,0,4.4884,5.27394081728287,5.3515625,6.17659505208333,1.97200415313475,1.97200415313475,0,3.99060420751648,1,1.84,3.58
419.4,0,4.4884,5.26874871530562,5.341796875,6.17659505208333,1.98486472743556,1.98486472743556,0,3.99060420751648,1,1.84,3.58
419.5,0,4.4884,5.26358190128619,5.3173828125,6.17659505208333,2.05674035017924,2.05674035017924,0,3.99060420751648,1,1.84,3.58
419.6,0,4.4884,5.25844038867562,5.361328125,6.17659505208333,1.85662698595199,1.85662698595199,0,3.99060420751648,1,1.84,3.58
419.7,0,4.4884,5.25332418812713,5.37109375,6.17659505208333,1.78989754221533,1.78989754221533,0,3.99060420751648,1,1.84,3.58
419.8,0,4.4884,5.24823330755074,5.3125,6.17659505208333,1.99566515057868,1.99566515057868,0,3.99060420751648,1,1.84,3.58
419.9,0,4.4884,5.24316775216707,5.2978515625,6.17659505208333,2.02949801057255,2.02949801057255,0,3.99060420751648,1,1.84,3.58
420,0,4.4884,5.23812752456032,5.29296875,6.17659505208333,2.02504048342223,2.02504048342223,0,3.99060420751648,1,1.84,3.58
420.1,0,4.4884,5.23311262473049,5.3125,6.17659505208333,1.92301699832211,1.92301699832211,0,3.99060420751648,1,1.84,3.58
420.2,0,4.4884,5.22812305014479,5.3125,6.17659505208333,1.89750158371047,1.89750158371047,0,3.99060420751648,1,1.84,3.58
420.3,0,4.4884,5.22315879578834,5.302734375,6.17659505208333,1.91080067979479,1.91080067979479,0,3.99060420751648,1,1.84,3.58
420.4,0,4.4884,5.218219854214,5.2734375,6.17659505208333,2.00266212295262,2.00266212295262,0,3.99060420751648,1,1.84,3.58
420.5,0,4.4884,5.21330621559157,5.2685546875,6.17659505208333,1.99867358325788,1.99867358325788,0,3.99060420751648,1,1.84,3.58
420.6,0,4.4884,5.20841786775616,5.25390625,6.17659505208333,2.03384654888267,2.03384654888267,0,3.99060420751648,1,1.84,3.58
420.7,0,4.4884,5.20355479625591,5.29296875,6.17659505208333,1.85496007612458,1.85496007612458,0,3.99060420751648,1,1.84,3.58
420.8,0,4.4884,5.19871698439889,5.2734375,6.17659505208333,1.9074748519344,1.9074748519344,0,3.99060420751648,1,1.84,3.58
420.9,0,4.4884,5.19390441329938,5.263671875,6.17659505208333,1.92205663144428,1.92205663144428,0,3.99060420751648,1,1.84,3.58
421,0,4.4884,5.18911706192342,5.2392578125,6.17659505208333,1.99567975362139,1.99567975362139,0,3.99060420751648,1,1.84,3.58
421.1,0,4.4884,5.18435490713364,5.2587890625,6.17659505208333,1.89499628192195,1.89499628192195,0,3.99060420751648,1,1.84,3.58
421.2,0,4.4884,5.17961792373348,5.2587890625,6.17659505208333,1.87083795744563,1.87083795744563,0,3.99060420751648,1,1.84,3.58
421.3,0,4.4884,5.1749060845106,5.2783203125,6.17659505208333,1.76832362084047,1.76832362084047,0,3.99060420751648,1,1.84,3.58
421.4,0,4.4884,5.1702193602798,5.224609375,6.17659505208333,1.95718147795803,1.95718147795803,0,3.99060420751648,1,1.84,3.58
421.5,0,4.4884,5.16555771992518,5.2392578125,6.17659505208333,1.8761338655091,1.8761338655091,0,3.99060420751648,1,1.84,3.58
421.6,0,4.4884,5.16092113044161,5.2197265625,6.17659505208333,1.93055350109461,1.93055350109461,0,3.99060420751648,1,1.84,3.58
421.7,0,4.4884,5.15630955697573,5.2490234375,6.17659505208333,1.79080332698698,1.79080332698698,0,3.99060420751648,1,1.84,3.58
421.8,0,4.4884,5.15172296286612,5.2294921875,6.17659505208333,1.84409197891184,1.84409197891184,0,3.99060420751648,1,1.84,3.58
421.9,0,4.4884,5.147161309683,5.1806640625,6.17659505208333,2.015714020455,2.015714020455,0,3.99060420751648,1,1.84,3.58
422,0,4.4884,5.14262455726726,5.2099609375,6.17659505208333,1.87803431809484,1.87803431809484,0,3.99060420751648,1,1.84,3.58
422.1,0,4.4884,5.13811266376886,5.1953125,6.17659505208333,1.91386694748497,1.91386694748497,0,3.99060420751648,1,1.84,3.58
422.2,0,4.4884,5.13362558568471,5.1904296875,6.17659505208333,1.91144589661217,1.91144589661217,0,3.99060420751648,1,1.84,3.58
422.3,0,4.4884,5.12916327789586,5.224609375,6.17659505208333,1.75290162832971,1.75290162832971,0,3.99060420751648,1,1.84,3.58
422.4,0,4.4884,5.12472569370422,5.21484375,6.17659505208333,1.76753256476586,1.76753256476586,0,3.99060420751648,1,1.84,3.58
422.5,0,4.4884,5.12031278486862,5.1611328125,6.17659505208333,1.95841641548278,1.95841641548278,0,3.99060420751648,1,1.84,3.58
422.6,0,4.4884,5.11592450164037,5.1904296875,6.17659505208333,1.82081838063556,1.82081838063556,0,3.99060420751648,1,1.84,3.58
422.7,0,4.4884,5.11156079279819,5.17578125,6.17659505208333,1.85674193225668,1.85674193225668,0,3.99060420751648,1,1.84,3.58
422.8,0,4.4884,5.1072216056827,5.1611328125,6.17659505208333,1.89348350179057,1.89348350179057,0,3.99060420751648,1,1.84,3.58
422.9,0,4.4884,5.10290688623023,5.1708984375,6.17659505208333,1.83338833950349,1.83338833950349,0,3.99060420751648,1,1.84,3.58
423,0,4.4884,5.09861657900625,5.205078125,6.17659505208333,1.67474895201867,1.67474895201867,0,3.99060420751648,1,1.84,3.58
423.1,0,4.4884,5.09435062723812,5.1611328125,6.17659505208333,1.82601408672659,1.82601408672659,0,3.99060420751648,1,1.84,3.58
423.2,0,4.4884,5.09010897284745,5.15625,6.17659505208333,1.82390396619559,1.82390396619559,0,3.99060420751648,1,1.84,3.58
